tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0836295,tvSeries,Komikfabrik,Komikfabrik,0,2006,\N,\N,Comedy
tt0836296,tvEpisode,Luck Be a Lady,Luck Be a Lady,0,2007,\N,56,"Drama,Romance"
tt0836297,tvEpisode,American Nightmare,American Nightmare,0,2006,\N,\N,Crime
tt0836298,tvEpisode,Down on the Pharm,Down on the Pharm,0,2003,\N,\N,"Action,Adventure,Crime"
tt0836299,tvEpisode,In Search of Childlike Joy and the Farthest Reaches of the Lotus Position,In Search of Childlike Joy and the Farthest Reaches of the Lotus Position,0,2002,\N,29,Comedy
tt0836300,tvEpisode,West Australia,West Australia,0,\N,\N,\N,"Action,Comedy"
tt0836301,tvSeries,Lauras Stern,Lauras Stern,0,1999,\N,\N,Animation
tt0836302,tvEpisode,The Sorcerer's Apprentice,The Sorcerer's Apprentice,0,1998,\N,\N,"Adventure,Fantasy"
tt0836303,tvEpisode,Champions,Champions,0,2006,\N,23,"Action,Animation,Sci-Fi"
tt0836304,tvEpisode,Timber Wolf,Timber Wolf,0,2006,\N,23,"Action,Animation,Sci-Fi"
tt0836306,tvEpisode,See Saw,See Saw,0,1962,\N,\N,"Animation,Family"
tt0836307,tvEpisode,Episode dated 7 July 2006,Episode dated 7 July 2006,0,2006,\N,\N,"Documentary,News"
tt0836308,tvEpisode,Episode dated 30 January 1978,Episode dated 30 January 1978,0,1978,\N,\N,"Drama,Romance"
tt0836309,tvEpisode,David Chase,David Chase,0,2006,\N,\N,Talk-Show
tt0319842,tvMovie,Mehr als nur Sex,Mehr als nur Sex,0,2002,\N,90,Comedy
tt0319843,movie,The Mandrake,Mehre giah,0,1975,\N,105,"Drama,Mystery"
tt0319844,movie,Meister Eder und sein Pumuckl,Meister Eder und sein Pumuckl,0,1982,\N,84,Family
tt0319845,movie,Mela Thiranthathu Kadhavu,Mela Thiranthathu Kadhavu,0,1986,\N,142,Romance
tt0319846,short,Mellem brÃ¸dre,Mellem brÃ¸dre,0,1997,\N,24,"Drama,Short"
tt0319847,movie,Memis ile Ibis anaforcular krali,Memis ile Ibis anaforcular krali,0,1952,\N,\N,Comedy
tt0319848,short,Memoria de una exposiciÃ³n,Memoria de una exposiciÃ³n,0,1974,\N,10,"Documentary,Short"
tt0319849,tvShort,Memoriam,Memoriam,0,2001,\N,10,Short
tt0319850,movie,Menamama,Menamama,0,1988,\N,\N,\N
tt0319851,tvEpisode,Menuhin: A Family Portrait,Menuhin: A Family Portrait,0,1991,\N,\N,"Biography,Documentary"
tt0319852,movie,Merupudadi,Merupudadi,0,1984,\N,140,"Action,Drama,Western"
tt0319853,short,Mesteren,Mesteren,0,2000,\N,17,Short
tt0319854,videoGame,Metroid Prime,Metroid Prime,0,2002,\N,\N,"Action,Adventure,Horror"
tt0319855,tvMiniSeries,Mevrouw de minister,Mevrouw de minister,0,2002,\N,\N,Drama
tt0319856,movie,Mi socio,Mi socio,0,1983,\N,\N,Drama
tt0319857,movie,Mi venganza,Mi venganza,0,1990,\N,90,"Action,Crime,Drama"
tt0319858,tvMovie,Michael Feinstein & Friends,Michael Feinstein & Friends,0,1991,\N,\N,\N
tt0319859,tvEpisode,Michael Moschen in Motion,Michael Moschen in Motion,0,1991,\N,\N,Music
tt0319860,movie,Migi muke hidari! Jieitai he ikÃ´,Migi muke hidari! Jieitai he ikÃ´,0,1995,\N,93,\N
tt0319861,movie,El mil usos II,El mil usos II,0,1984,\N,\N,"Adventure,Comedy,Drama"
tt0319862,tvMovie,The Miles Davis Story,The Miles Davis Story,0,2001,\N,125,Documentary
tt0319863,tvEpisode,Miles Davis: A Tribute,Miles Davis: A Tribute,0,1993,\N,\N,Music
tt0319864,short,The Mill on the Heath,The Mill on the Heath,0,1913,\N,\N,"Drama,Romance,Short"
tt10139480,tvEpisode,Episode #5.2,Episode #5.2,0,2011,\N,\N,"Comedy,Family"
